Time,theta1_acc,theta2_acc,d3_acc,theta4_acc
5.74,0.0517968,-0.0439498,0,0.164272
5.76,0.0523174,-0.0445085,0,0.165923
5.78,0.0528379,-0.0450672,0,0.167574
5.8,0.0533585,-0.0456259,0,0.169225
5.82,0.0538791,-0.0461845,0,0.170876
5.84,0.0543996,-0.0467432,0,0.172527
5.86,0.0549202,-0.0473019,0,0.174178
5.88,0.0554408,-0.0478606,0,0.175829
5.9,0.0559614,-0.0484193,0,0.17748
5.92,0.0564819,-0.048978,0,0.179131
5.94,0.0570025,-0.0495366,0,0.180782
5.96,0.0575231,-0.0500953,0,0.182433
5.98,0.0580436,-0.050654,0,0.184084
6,0.0585642,-0.0512127,0,0.185735
6.02,0.0590848,-0.0517714,0,0.187386
6.04,0.0596054,-0.0523301,0,0.189037
6.06,0.0601259,-0.0528888,0,0.190688
6.08,0.0606465,-0.0534474,0,0.192339
6.1,0.0611671,-0.0540061,0,0.19399
6.12,0.0616876,-0.0545648,0,0.195641
6.14,0.0622082,-0.0551235,0,0.197292
6.16,0.0627288,-0.0556822,0,0.198943
6.18,0.0632493,-0.0562409,0,0.200594
6.2,0.0637699,-0.0567995,0,0.202245
6.22,0.0642905,-0.0573582,0,0.203896
6.24,0.0648111,-0.0579169,0,0.205547
6.26,0.0653316,-0.0584756,0,0.207198
6.28,0.0658522,-0.0590343,0,0.208849
6.3,0.0663728,-0.059593,0,0.2105
6.32,0.0668933,-0.0601516,0,0.212151
6.34,0.0674139,-0.0607103,0,0.213802
6.36,0.0679345,-0.061269,0,0.215453
6.38,0.0684551,-0.0618277,0,0.217104
6.4,0.0689756,-0.0623864,0,0.218755
6.42,0.0694962,-0.0629451,0,0.220406
6.44,0.0700168,-0.0635037,0,0.222057
6.46,0.0705373,-0.0640624,0,0.223708
6.48,0.0710579,-0.0646211,0,0.225359
6.5,0.0715785,-0.0651798,0,0.22701
6.52,0.0720991,-0.0657385,0,0.228661
6.54,0.0726196,-0.0662972,0,0.230312
6.56,0.0731402,-0.0668559,0,0.231963
6.58,0.0736608,-0.0674145,0,0.233614
6.6,0.0741813,-0.0679732,0,0.235265
6.62,0.0747019,-0.0685319,0,0.236916
6.64,0.0752225,-0.0690906,0,0.238567
6.66,0.075743,-0.0696493,0,0.240218
6.68,0.0762636,-0.070208,0,0.241869
6.7,0.0767842,-0.0707666,0,0.243519
6.72,0.0773048,-0.0713253,0,0.24517
6.74,0.0778253,-0.071884,0,0.246821
6.76,0.0783459,-0.0724427,0,0.248472
6.78,0.0788665,-0.0730014,0,0.250123
6.8,0.079387,-0.0735601,0,0.251774
6.82,0.0799076,-0.0741187,0,0.253425
6.84,0.0804282,-0.0746774,0,0.255076
6.86,0.0809488,-0.0752361,0,0.256727
6.88,0.0814693,-0.0757948,0,0.258378
6.9,0.0819899,-0.0763535,0,0.260029
6.92,0.0825105,-0.0769122,0,0.26168
