Time,theta1_pos,theta2_pos,d3_pos,theta4_pos
5.2,0.86112,0.918998,-175,-2.25073
5.22,0.858014,0.923544,-175,-2.26057
5.24,0.854924,0.928077,-175,-2.27037
5.26,0.851849,0.932599,-175,-2.28013
5.28,0.84879,0.937109,-175,-2.28983
5.3,0.845748,0.941606,-175,-2.29948
5.32,0.842721,0.946091,-175,-2.30908
5.34,0.83971,0.950562,-175,-2.31862
5.36,0.836716,0.955021,-175,-2.32812
5.38,0.833739,0.959466,-175,-2.33756
5.4,0.830779,0.963898,-175,-2.34695
5.42,0.827836,0.968315,-175,-2.35628
5.44,0.82491,0.972719,-175,-2.36556
5.46,0.822002,0.977109,-175,-2.37479
5.48,0.819112,0.981484,-175,-2.38395
5.5,0.81624,0.985844,-175,-2.39306
5.52,0.813386,0.99019,-175,-2.40211
5.54,0.81055,0.994521,-175,-2.4111
5.56,0.807733,0.998836,-175,-2.42004
5.58,0.804935,1.00314,-175,-2.42891
5.6,0.802156,1.00742,-175,-2.43773
5.62,0.799396,1.01169,-175,-2.44648
5.64,0.796656,1.01594,-175,-2.45517
5.66,0.793936,1.02017,-175,-2.4638
5.68,0.791235,1.02439,-175,-2.47236
5.7,0.788554,1.02859,-175,-2.48087
5.72,0.785894,1.03278,-175,-2.4893
5.74,0.783254,1.03694,-175,-2.49767
5.76,0.780635,1.04109,-175,-2.50598
5.78,0.778037,1.04523,-175,-2.51422
5.8,0.77546,1.04934,-175,-2.52239
5.82,0.772904,1.05343,-175,-2.5305
5.84,0.77037,1.05751,-175,-2.53854
5.86,0.767857,1.06157,-175,-2.5465
5.88,0.765367,1.06561,-175,-2.5544
5.9,0.762899,1.06963,-175,-2.56223
5.92,0.760453,1.07363,-175,-2.56999
5.94,0.75803,1.07761,-175,-2.57767
5.96,0.755629,1.08157,-175,-2.58529
5.98,0.753252,1.08551,-175,-2.59283
6,0.750897,1.08943,-175,-2.60029
6.02,0.748567,1.09333,-175,-2.60768
6.04,0.746259,1.09721,-175,-2.615
6.06,0.743976,1.10107,-175,-2.62224
6.08,0.741717,1.10491,-175,-2.62941
6.1,0.739482,1.10873,-175,-2.6365
6.12,0.737271,1.11252,-175,-2.64351
6.14,0.735085,1.11629,-175,-2.65044
6.16,0.732924,1.12005,-175,-2.65729
6.18,0.730788,1.12377,-175,-2.66407
6.2,0.728678,1.12748,-175,-2.67076
6.22,0.726593,1.13116,-175,-2.67738
6.24,0.724533,1.13482,-175,-2.68391
6.26,0.7225,1.13846,-175,-2.69036
6.28,0.720492,1.14208,-175,-2.69672
6.3,0.718511,1.14567,-175,-2.703
6.32,0.716557,1.14923,-175,-2.7092
6.34,0.714629,1.15277,-175,-2.71532
6.36,0.712728,1.15629,-175,-2.72134
6.38,0.710855,1.15979,-175,-2.72729
6.4,0.709009,1.16325,-175,-2.73314
6.42,0.70719,1.1667,-175,-2.73891
6.44,0.705399,1.17012,-175,-2.74459
6.46,0.703637,1.17351,-175,-2.75018
6.48,0.701902,1.17688,-175,-2.75568
6.5,0.700196,1.18022,-175,-2.76109
6.52,0.698518,1.18354,-175,-2.76641
6.54,0.69687,1.18683,-175,-2.77164
