X,Y,Z,Phi
14.1948,259.428,100,-1.16219
13.4512,259.496,100,-1.16117
12.7066,259.563,100,-1.16016
11.9613,259.628,100,-1.15916
11.2152,259.692,100,-1.15817
10.4683,259.754,100,-1.1572
9.72064,259.815,100,-1.15624
8.97234,259.874,100,-1.15529
8.22339,259.932,100,-1.15435
7.47384,259.989,100,-1.15343
6.72371,260.044,100,-1.15253
5.97305,260.097,100,-1.15164
5.2219,260.149,100,-1.15076
4.4703,260.199,100,-1.14989
3.71828,260.248,100,-1.14904
2.96588,260.295,100,-1.14821
2.21315,260.341,100,-1.14738
1.46012,260.385,100,-1.14658
0.706833,260.427,100,-1.14578
-0.0466755,260.468,100,-1.145
-0.800364,260.507,100,-1.14424
-1.55419,260.545,100,-1.14349
-2.30812,260.581,100,-1.14276
-3.06211,260.615,100,-1.14204
-3.81612,260.648,100,-1.14133
-4.57011,260.679,100,-1.14065
-5.32404,260.708,100,-1.13997
-6.07787,260.736,100,-1.13931
-6.83156,260.762,100,-1.13867
-7.58507,260.786,100,-1.13805
-8.33836,260.809,100,-1.13744
-9.09138,260.829,100,-1.13684
-9.8441,260.849,100,-1.13626
-10.5965,260.866,100,-1.1357
-11.3485,260.882,100,-1.13515
-12.1,260.896,100,-1.13462
-12.8511,260.909,100,-1.13411
-13.6017,260.919,100,-1.13361
-14.3518,260.928,100,-1.13313
-15.1012,260.936,100,-1.13267
-15.85,260.941,100,-1.13222
-16.5982,260.945,100,-1.13179
-17.3456,260.947,100,-1.13137
-18.0923,260.948,100,-1.13098
-18.8381,260.947,100,-1.1306
-19.5832,260.944,100,-1.13024
-20.3273,260.939,100,-1.12989
-21.0705,260.933,100,-1.12957
-21.8128,260.925,100,-1.12926
-22.554,260.915,100,-1.12897
-23.2942,260.904,100,-1.12869
-24.0334,260.89,100,-1.12844
-24.7713,260.876,100,-1.1282
-25.5081,260.859,100,-1.12798
-26.2437,260.841,100,-1.12778
-26.978,260.822,100,-1.1276
-27.711,260.8,100,-1.12743
-28.4427,260.777,100,-1.12729
-29.173,260.752,100,-1.12716
-29.9019,260.726,100,-1.12705
-30.6292,260.698,100,-1.12697
-31.3551,260.669,100,-1.1269
-32.0794,260.638,100,-1.12684
-32.8022,260.605,100,-1.12681
-33.5232,260.571,100,-1.1268
-34.2426,260.535,100,-1.12681
-34.9603,260.497,100,-1.12683
-35.6762,260.459,100,-1.12688
-36.3903,260.418,100,-1.12695
-37.1026,260.376,100,-1.12703
-37.8129,260.333,100,-1.12714
-38.5213,260.288,100,-1.12726
-39.2278,260.241,100,-1.12741
-39.9322,260.193,100,-1.12758
-40.6346,260.144,100,-1.12776
-41.3348,260.093,100,-1.12797
-42.0329,260.041,100,-1.1282
-42.7289,259.987,100,-1.12844
-43.4226,259.932,100,-1.12871
-44.114,259.875,100,-1.129
-44.8031,259.818,100,-1.12931
-45.4898,259.758,100,-1.12965
-46.1742,259.698,100,-1.13
-46.8561,259.636,100,-1.13037
-47.5356,259.573,100,-1.13077
-48.2125,259.509,100,-1.13119
-48.8868,259.443,100,-1.13163
-49.5586,259.376,100,-1.13209
-50.2277,259.308,100,-1.13257
-50.8941,259.239,100,-1.13307
-51.5578,259.169,100,-1.1336
-52.2187,259.097,100,-1.13415
-52.8768,259.025,100,-1.13472
-53.5321,258.951,100,-1.13531
-54.1844,258.876,100,-1.13593
-54.8338,258.8,100,-1.13657
-55.4803,258.723,100,-1.13723
-56.1237,258.645,100,-1.13791
-56.7641,258.566,100,-1.13862
-57.4013,258.486,100,-1.13935
-58.0354,258.405,100,-1.1401
